timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-10-21,175.00000000,177.89000000,171.87000000,174.29000000,460.13617000,1571702399999,80494.81821450,691,148.52806000,26088.87787940,0
2019-10-22,174.24000000,175.13000000,170.34000000,171.31000000,647.82578000,1571788799999,112352.32730800,776,215.95471000,37433.06192100,0
2019-10-23,171.24000000,171.53000000,153.36000000,162.46000000,1130.90732000,1571875199999,183037.24913970,1382,389.84541000,62577.30409110,0
2019-10-24,162.34000000,163.50000000,158.44000000,161.00000000,808.86735000,1571961599999,130011.07497750,1155,46.65817000,7517.50399080,0
2019-10-25,161.02000000,186.73000000,161.00000000,181.74000000,1762.18861000,1572047999999,305820.57670970,2228,701.09920000,123146.69604840,0
2019-10-26,182.39000000,196.94000000,174.20000000,180.03000000,1427.23093000,1572134399999,265383.19495900,1904,589.22456000,109328.44373130,0
2019-10-27,180.19000000,188.94000000,105.00000000,184.18000000,525.94096000,1572220799999,91908.39768290,813,178.25306000,32831.37443270,0
2019-10-28,184.00000000,189.86000000,180.84000000,182.01000000,1083.69522000,1572307199999,198815.84294860,1839,354.39247000,65091.32987480,0
2019-10-29,181.98000000,192.88000000,181.98000000,189.87000000,2307.75419000,1572393599999,432259.60257590,3131,668.39937000,124263.29038150,0
2019-10-30,189.49000000,191.85000000,180.04000000,183.38000000,960.03865000,1572479999999,177589.28242250,1092,535.71142000,99531.27470990,0
2019-10-31,183.57000000,185.19000000,177.86000000,182.37000000,988.41607000,1572566399999,179957.46800490,1214,402.00456000,73144.82968170,0
2019-11-01,182.25000000,184.49000000,177.39000000,182.88000000,716.41249000,1572652799999,129914.19701820,949,251.32021000,45573.32952430,0
2019-11-02,183.21000000,185.72000000,181.81000000,182.80000000,482.73493000,1572739199999,88518.97700450,691,148.78851000,27366.67196480,0
2019-11-03,183.00000000,184.85000000,179.33000000,181.78000000,362.04264000,1572825599999,65696.98684430,680,153.31747000,27856.73085200,0
2019-11-04,181.74000000,188.58000000,180.61000000,186.11000000,711.69108000,1572911999999,132313.22704710,1202,266.15846000,49302.07839160,0
2019-11-05,185.95000000,191.99000000,182.64000000,188.65000000,904.20721000,1572998399999,168955.37322050,1482,640.58905000,119271.48093970,0
2019-11-06,188.69000000,194.32000000,188.09000000,191.08000000,733.93293000,1573084799999,140736.16231440,1116,414.17724000,79236.48186470,0
2019-11-07,191.20000000,191.99000000,184.49000000,186.44000000,1328.32990000,1573171199999,248931.88062240,2079,615.40672000,115883.93240290,0
2019-11-08,186.45000000,187.96000000,181.00000000,183.56000000,818.31076000,1573257599999,150843.06991180,1640,373.88076000,68603.71948530,0
2019-11-09,183.57000000,185.54000000,182.47000000,185.04000000,693.41431000,1573343999999,127995.53099370,1404,77.32704000,14243.50747730,0
2019-11-10,184.85000000,191.52000000,183.31000000,189.04000000,589.05567000,1573430399999,110614.11165980,1559,414.17841000,77862.65802680,0
2019-11-11,188.88000000,190.00000000,183.82000000,184.61000000,807.45034000,1573516799999,150245.25631780,1749,102.57577000,19216.75838500,0
2019-11-12,184.61000000,187.05000000,182.00000000,186.76000000,1113.94685000,1573603199999,206607.80923140,2683,160.69346000,29684.12491270,0
2019-11-13,186.76000000,189.25000000,184.99000000,187.76000000,455.87323000,1573689599999,85082.17797340,1692,153.05724000,28669.82694150,0
2019-11-14,187.91000000,188.22000000,182.81000000,184.49000000,494.80147000,1573775999999,91567.77884330,1811,196.95855000,36537.24653550,0
2019-11-15,184.44000000,186.32000000,177.21000000,179.69000000,793.85802000,1573862399999,143959.40729530,2591,259.80174000,47303.47007540,0
2019-11-16,179.64000000,183.10000000,178.96000000,182.37000000,320.45116000,1573948799999,57936.86884780,1300,69.00091000,12510.50141810,0
2019-11-17,182.43000000,185.87000000,180.11000000,183.72000000,399.02241000,1574035199999,73279.22313630,1639,154.34824000,28297.08494860,0
2019-11-18,183.57000000,183.72000000,174.18000000,177.89000000,655.85155000,1574121599999,118494.99688670,2210,294.01823000,53300.02175900,0
2019-11-19,177.45000000,178.01000000,172.46000000,175.60000000,561.45539000,1574207999999,98246.54072820,1021,277.87099000,48697.55589390,0
2019-11-20,175.40000000,177.02000000,173.34000000,174.33000000,468.00091000,1574294399999,81939.30857260,846,241.75176000,42309.27094210,0
2019-11-21,174.10000000,175.32000000,156.92000000,160.65000000,1627.00145000,1574380799999,267983.45123370,2433,941.69223000,154256.46901220,0
2019-11-22,160.90000000,162.51000000,137.82000000,149.76000000,2922.38088000,1574467199999,441724.78223280,4392,931.10280000,141154.23635070,0
2019-11-23,149.88000000,154.31000000,146.42000000,151.85000000,1463.36061000,1574553599999,219502.17399120,1710,399.82534000,59829.15334420,0
2019-11-24,152.00000000,152.83000000,139.15000000,140.02000000,602.91019000,1574639999999,88442.55782260,1302,311.99118000,45789.11183460,0
2019-11-25,140.09000000,151.30000000,131.66000000,145.87000000,2540.45086000,1574726399999,364142.30056330,2136,1813.76543000,261099.69326710,0
2019-11-26,146.10000000,149.78000000,143.77000000,147.68000000,863.55453000,1574812799999,126210.02200750,1202,390.71614000,57235.05306650,0
2019-11-27,147.40000000,155.48000000,141.03000000,153.02000000,990.52049000,1574899199999,146779.21591310,1356,301.81174000,44439.59490870,0
2019-11-28,152.87000000,154.43000000,149.38000000,150.87000000,1402.38118000,1574985599999,213502.42835750,719,701.41070000,107097.43688390,0
2019-11-29,150.47000000,157.38000000,150.41000000,154.45000000,712.41840000,1575071999999,109572.97438770,601,281.20002000,43053.10957250,0
2019-11-30,154.54000000,155.23000000,149.71000000,151.50000000,537.62706000,1575158399999,81965.50610480,308,275.80499000,42092.65915050,0
